CTR;Steer
0.0415;0.159502
-0.044;0.133949
-0.0282;-0.0710064
0.0153;-0.132939
0.0978;-0.223363
0.2026;-0.283784
0.5865;-0.899863
0.3775;0.317099
0.1303;0.430514
-0.1854;0.614961
-0.4652;0.585364
-0.5853;0.284272
-0.5576;-0.0152047
-0.4333;-0.226833
-0.2647;-0.340591
-0.1016;-0.354005
0.019;-0.287104
0.0782;-0.173223
0.0676;-0.0320672
0.0016;0.0886319
-0.0927;0.159423
-0.1884;0.176673
-0.2855;0.19418
-0.3151;0.0637778
-0.3006;-0.0264469
-0.2401;-0.127402
0.092;-0.720463
0.226;-0.344476
0.3434;-0.329058
0.3092;-0.0208821
0.1652;0.220235
0.0643;0.149138
-0.0638;0.222785
-0.1498;0.15156
-0.2656;0.228663
-0.3572;0.194181
-0.3836;0.0679331
-0.3776;0.0024219
-0.3377;-0.0711942
-0.2476;-0.184985
-0.1893;-0.130036
-0.1327;-0.135059
-0.0995;-0.0931897
-0.0899;-0.0473848
-0.1027;-0.0006134
-0.1313;0.0353423
-0.1597;0.0392821
-0.1869;0.0410556
-0.2149;0.046963
-0.6559;0.939441
0.2954;-1.988
0.2068;0.104985
0.4926;-0.686931
0.7005;-0.562667
0.9273;-0.63495
1.0566;-0.459874
1.0657;-0.221372
0.9905;-0.0419867
0.8288;0.154854
0.6271;0.264795
0.4253;0.295053
0.2875;0.187579
0.1168;0.278925
0.0808;0.0148851
0.1039;-0.106832
0.1807;-0.225842
0.2648;-0.25319
0.2967;-0.153723
0.318;-0.135877
0.3046;-0.0646192
0.2728;-0.0231857
0.214;0.0395273
0.143;0.0745059
0.0711;0.0870553
-0.0013;0.0989159
-0.0428;0.0433623
-0.0625;0.0027486
-0.0546;-0.0536091
-0.0384;-0.0726199
-0.011;-0.0991244
0.004;-0.0765764
0.0125;-0.0648577
0.0058;-0.0334556
-0.0183;0.0049686
-0.0486;0.0219379
-0.0878;0.0456618
-0.1528;0.107088
0.8864;-2.25763
1.0946;-0.627412
1.3126;-0.680369
1.3898;-0.411043
1.1236;0.315125
0.7881;0.503656
0.3963;0.674828
